08:14:30:074 ?   
08:14:30:823 ?   

13.05.2019 08:14:30:825 ToPeron_1>> 402102025355010005054b4f50554b01000568fa *** 08:14:31:572 FromPeron_1<< 402102fa  

13.05.2019 08:14:31:617 ToPeron_2>> 41210202535501000f054b4f50554b01000c6bfa *** 08:14:32:323 FromPeron_2<< 412102fa  

13.05.2019 08:14:32:361 ToPeron_1>> 4020fa *** 08:14:33:073 FromPeron_1<< 40700070fa  

13.05.2019 08:14:33:079 ToPeron_2>> 4120fa *** 08:14:33:823 FromPeron_2<< 41700070fa  

13.05.2019 08:14:33:829 ToPeron_1>> 4020fa *** 08:14:34:573 FromPeron_1<< 40700070fa  

13.05.2019 08:14:34:578 ToPeron_2>> 4120fa *** 08:14:35:323 FromPeron_2<< 41700070fa  

13.05.2019 09:15:12:079 ToPeron_1>> 4020fa *** 09:15:12:824 FromPeron_1<< 40700070fa  

13.05.2019 09:15:12:829 ToPeron_2>> 4120fa *** 09:15:13:574 FromPeron_2<< 41700070fa  

13.05.2019 09:15:13:579 ToPeron_1>> 4020fa *** 09:15:14:323 FromPeron_1<< 40700070fa  

13.05.2019 09:15:14:328 ToPeron_2>> 4120fa *** 09:15:15:073 FromPeron_2<< 41700070fa  

13.05.2019 09:15:15:079 ToPeron_1>> 4020fa *** 09:15:15:823 FromPeron_1<< 40700070fa  

13.05.2019 09:15:15:829 ToPeron_2>> 4120fa *** 09:15:16:574 FromPeron_2<< 41700070fa  

13.05.2019 09:15:16:579 ToPeron_1>> 4020fa *** 09:15:17:324 FromPeron_1<< 40700070fa  

13.05.2019 09:15:17:329 ToPeron_2>> 4120fa *** 09:15:18:073 FromPeron_2<< 41700070fa  

13.05.2019 09:15:18:079 ToPeron_1>> 4020fa *** 09:15:18:823 FromPeron_1<< 40700070fa  

13.05.2019 09:15:18:829 ToPeron_2>> 4120fa *** 09:15:19:574 FromPeron_2<< 41700070fa  

13.05.2019 09:15:19:579 ToPeron_1>> 4020fa *** 09:15:20:324 FromPeron_1<< 40700070fa  

13.05.2019 09:15:20:329 ToPeron_2>> 4120fa *** 09:15:21:073 FromPeron_2<< 41700070fa  

13.05.2019 09:15:21:079 ToPeron_1>> 4020fa *** 09:15:21:823 FromPeron_1<< 40700070fa  

13.05.2019 09:15:21:829 ToPeron_2>> 4120fa *** 09:15:22:574 FromPeron_2<< 41700070fa  

13.05.2019 09:15:22:579 ToPeron_1>> 4020fa *** 09:15:23:323 FromPeron_1<< 40700070fa  

13.05.2019 09:15:23:329 ToPeron_2>> 4120fa *** 09:15:24:073 FromPeron_2<< 41700070fa  

13.05.2019 09:15:24:078 ToPeron_1>> 4020fa *** 09:15:24:824 FromPeron_1<< 40700070fa  

13.05.2019 09:15:24:829 ToPeron_2>> 4120fa *** 09:15:25:573 FromPeron_2<< 41700070fa  

13.05.2019 09:15:25:578 ToPeron_1>> 4020fa *** 09:15:26:324 FromPeron_1<< 40700070fa  

13.05.2019 09:15:26:329 ToPeron_2>> 4120fa *** 09:15:27:074 FromPeron_2<< 41700070fa  

13.05.2019 09:15:27:079 ToPeron_1>> 4020fa *** 09:15:27:823 FromPeron_1<< 40700070fa  

13.05.2019 09:15:27:829 ToPeron_2>> 4120fa *** 09:15:28:574 FromPeron_2<< 41700070fa  

13.05.2019 09:15:28:579 ToPeron_1>> 4020fa *** 09:15:29:324 FromPeron_1<< 40700070fa  

13.05.2019 09:15:29:329 ToPeron_2>> 4120fa *** 09:15:30:073 FromPeron_2<< 41700070fa  

13.05.2019 09:15:30:079 ToPeron_1>> 4020fa *** 09:15:30:824 FromPeron_1<< 40700070fa  

13.05.2019 09:15:30:844 ToPeron_2>> 4120fa *** 09:15:31:574 FromPeron_2<< 41700070fa  

13.05.2019 09:15:31:579 ToPeron_1>> 4020fa *** 09:15:32:324 FromPeron_1<< 40700070fa  

13.05.2019 09:15:32:329 ToPeron_2>> 4120fa *** 09:15:33:073 FromPeron_2<< 41700070fa  

13.05.2019 09:15:33:079 ToPeron_1>> 4020fa *** 09:15:33:823 FromPeron_1<< 40700070fa  

13.05.2019 09:15:33:829 ToPeron_2>> 4120fa *** 09:15:34:573 FromPeron_2<< 41700070fa  

13.05.2019 09:15:34:578 ToPeron_1>> 4020fa *** 09:15:35:324 FromPeron_1<< 40700070fa  

13.05.2019 09:15:35:329 ToPeron_2>> 4120fa *** 09:15:36:074 FromPeron_2<< 41700070fa  

13.05.2019 09:15:36:093 ToPeron_1>> 4020fa *** 09:15:36:824 FromPeron_1<< 40700070fa  

13.05.2019 09:15:36:829 ToPeron_2>> 4120fa *** 09:15:37:573 FromPeron_2<< 41700070fa  

13.05.2019 09:15:37:578 ToPeron_1>> 4020fa *** 09:15:38:324 FromPeron_1<< 40700070fa  

13.05.2019 09:15:38:329 ToPeron_2>> 4120fa *** 09:15:39:074 FromPeron_2<< 41700070fa  

13.05.2019 09:15:39:079 ToPeron_1>> 4020fa *** 09:15:39:823 FromPeron_1<< 40700070fa  

13.05.2019 09:15:39:829 ToPeron_2>> 4120fa *** 09:15:40:573 FromPeron_2<< 41700070fa  

13.05.2019 09:15:40:578 ToPeron_1>> 4020fa *** 09:15:41:324 FromPeron_1<< 40700070fa  

13.05.2019 09:15:41:329 ToPeron_2>> 4120fa *** 09:15:42:073 FromPeron_2<< 41700070fa  

13.05.2019 09:15:42:079 ToPeron_1>> 4020fa *** 09:15:42:824 FromPeron_1<< 40700070fa  

13.05.2019 09:15:42:829 ToPeron_2>> 4120fa *** 09:15:43:573 FromPeron_2<< 41700070fa  

13.05.2019 09:15:43:578 ToPeron_1>> 4020fa *** 09:15:44:323 FromPeron_1<< 40700070fa  

13.05.2019 09:15:44:329 ToPeron_2>> 4120fa *** 09:15:45:073 FromPeron_2<< 41700070fa  

13.05.2019 09:15:45:079 ToPeron_1>> 4020fa *** 09:15:45:823 FromPeron_1<< 40700070fa  

13.05.2019 09:15:45:828 ToPeron_2>> 4120fa *** 09:15:46:574 FromPeron_2<< 41700070fa  

13.05.2019 09:15:46:593 ToPeron_1>> 4020fa *** 09:15:47:324 FromPeron_1<< 40700070fa  

